"Card.Res.Gene.Annotations"	"mechanism"	"classification"
"vanSC"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanS"
"vanSO"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanS"
"vanTE"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanT"
"vanXO"	"antibiotic target alteration"	"glycopeptide resistance gene cluster;vanX"
"vatA"	"antibiotic inactivation"	"streptogramin vat acetyltransferase"
"vatD"	"antibiotic inactivation"	"streptogramin vat acetyltransferase"
"vgaC"	"antibiotic target protection"	"ABC-F ATP-binding cassette ribosomal protection protein"
"VIM-1"	"antibiotic inactivation"	"VIM beta-lactamase"
"VIM-24"	"antibiotic inactivation"	"VIM beta-lactamase"
"vmlR"	"antibiotic target protection"	"ABC-F ATP-binding cassette ribosomal protection protein"
NA	""	""
