Card.Res.Gene.Annotations	Universal.Gene.Name	Gene.AMR.Family	Gene.Further.Classification	Gene.Mechanism	mechanism	classification
LRA-2	LRA-2	LRA beta-lactamase	Beta-lactamase	antibiotic inactivation	antibiotic inactivation	subclass B3 LRA beta-lactamase
lsa(E)_1_JX560992	lsaE	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	Target protection	ABC transporter
lsaC	lsaC	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
lsaE	lsaE	ABC-F ATP-binding cassette ribosomal protection protein	ABC-F ATPase ribosomal protection protein	antibiotic target protection	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
macA	macA	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
macB	macB	ATP-binding cassette (ABC) antibiotic efflux pump	ABC efflux pump	antibiotic efflux	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
marA	marA	"General Bacterial Porin with reduced permeability to beta-lactams; resistance-nodulation-cell division (RND) antibiotic efflux pump"	"General Bacterial Porin; RND efflux pump"	regulator of efflux pumps	"antibiotic efflux;reduced permeability to antibiotic"	"General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump"
MCR-3.2	MCR-3.2	MCR phosphoethanolamine transferase	MCR phosphoethanolamine transferase	antibiotic target alteration	antibiotic target alteration	MCR phosphoethanolamine transferase
mdf(A)_1_Y08743	mdfA	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	Mdf(A) has broad spectrum specificity including Erythromycin, Tetracycline, Rifampicin, Kanamycin, Chloramphenicol and Ciprofloxacin but it is unclear which level of resistance it confers
mdsA	mdsA	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
mdtF	mdtF	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
mdtG	mdtG	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
mdtH	mdtH	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
mdtK	mdtK	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
mdtM	mdtM	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
mecC2_1_KF955540	mecC2	methicillin resistant PBP2	Beta-lactamase	antibiotic target replacement	Target modification	nan
mecR1	mecR1	methicillin resistant PBP2	Beta-lactamase	antibiotic target replacement	antibiotic target replacement	methicillin resistant PBP2
mef(A)_2_U83667	mefA	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	Increased efflux	Alternative name mef(I)
mefB	mefB	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
mefC	mefC	major facilitator superfamily (MFS) antibiotic efflux pump	MFS efflux pump	antibiotic efflux	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
mepA	mepA	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	antibiotic efflux	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
mepR	mepR	multidrug and toxic compound extrusion (MATE) transporter	MATE transporter	regulator of efflux pumps	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
MexB	mexB	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND efflux pump	antibiotic efflux	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
